User name,Email,Score,Group Name
John Kerry,john.kerry@santaswarehouse.com,3,Group 3
Clickety Click,ckekek.click@santaswarehouse.com,4,Group 3
Jack Jackly,jack.jackly@santaswarehouse.com,4,Group 3
Ducky Duck,ducky.duck@santaswarehouse.com,5,Group 3
Sporty Rusty,sporty.rusty@santaswarehouse.com,6,Group 3
Gigelly Goon,gigelly.goon@santaswarehouse.com,7,Group 3
Trouble Thrumpet,trouble.thrumpet@santaswarehouse.com,8,Group 3
Gal Gally,gal.gally@santaswarehouse.com,8,Group 3
Funny Fonny,funny.fonny@santaswarehouse.com,8,Group 3
Adam Abacus,adam.abacus@santaswarehouse.com,8,Group 3
Quicky Quiver,quicky.quiver@santaswarehouse.com,9,Group 3
Roman Romanov,roman.romanov@santaswarehouse.com,10,Group 3
Greedy Garlic,greedy.garlic@santaswarehouse.com,8,Group 4
Creative Carl,creative.karl@santaswarehouse.com,8,Group 4
Monty Mount,monty.mount@santaswarehouse.com,9,Group 4
General Glass,general.glass@santaswarehouse.com,9,Group 4
Lonely Lucker,lonely.lucker@santaswarehouse.com,11,Group 4
Triple Trouble,jack.jackly@santaswarehouse.com,11,Group 4
Granty Grant,granty.brant@santaswarehouse.com,12,Group 4
Gideon Gerry,gideon.gerry@santaswarehouse.com,12,Group 4
Zooper Zack,zooper.zack@santaswarehouse.com,12,Group 4
Horsly Hat,horsly.hat@santaswarehouse.com,12,Group 4
Tricky Track,tricky.track@santaswarehouse.com,12,Group 4
Planty Plum,planty.plum@santaswarehouse.com,13,Group 4
